"","Q13C","Q18AA","Q18AB","Q20","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24","Q25","Q26","Q27","Q29","Q29A","Education","AgeCat","PoliticalPartyAffiliation","Income","PoliticsGeneral","Married"
"681",NA,"Somewhat important","Somewhat important","Support","The insurance company (or)","Somewhat important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Indep lean Dem","$100,000 or more","Moderate","Divorced"
"682",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Democrat","$50,000 to less than $75,000","Liberal","Never been married"
"683","Yes, the law does this","Somewhat important","Not too important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","25-34","Indep lean Rep","(DO NOT READ) Don't know/Refused","Moderate","Never been married"
"684","Yes, the law does this","Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Don't know","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Democrat","$40,000 to less than $50,000","Liberal","Divorced"
"685",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Republican","$50,000 to less than $75,000","Conservative","Divorced"
"686","No, law does not do this","Very important","Very important","Support","(DO NOT READ) None of these/someone else","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","65+","Indep lean Dem","$30,000 to less than $40,000","Moderate","Divorced"
"687","(DO NOT READ) Don't know","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","55-64","Democrat","$100,000 or more","Liberal","Married"
"688",NA,"Very important","Very important","Support","(DO NOT READ) None of these/someone else","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Indep lean Dem","$100,000 or more","Liberal","Living with a partner"
"689","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep lean Rep","$40,000 to less than $50,000","Conservative","Married"
"690","No, law does not do this","Somewhat important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","18-24","Democrat","$30,000 to less than $40,000","Liberal","Never been married"
"691","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","25-34","Indep lean Dem","$100,000 or more","Liberal","Married"
"692","No, law does not do this","Not at all important","Very important","Oppose","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep/Don't lean","$100,000 or more","Moderate","Married"
"693","(DO NOT READ) Don't know","Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","45-54","Republican","Less than $20,000","Conservative","Married"
"694","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Democrat","$100,000 or more","Moderate","Married"
"695","Yes, the law does this","Not at all important","Somewhat important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Oppose",NA,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Republican","$75,000 to less than $90,000","Conservative","Married"
"696","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","25-34","Indep lean Dem","$30,000 to less than $40,000","Moderate","Married"
"697","Yes, the law does this","Very important","Very important","Support","The woman herself (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Some college, no degree (includes some community college)","65+","Democrat","$20,000 to less than $30,000","Conservative","Divorced"
"698","(DO NOT READ) Refused","Not too important","Somewhat important","Oppose","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep lean Rep","$90,000 to less than $100,000","Conservative","Divorced"
"699","Yes, the law does this","Very important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Some college, no degree (includes some community college)","55-64","Republican","$30,000 to less than $40,000","Conservative","Divorced"
"700","No, law does not do this","Somewhat important","Very important","Support","The woman herself (or)","Very important","Skipped","(DO NOT READ) Never heard of Planned Parenthood","Skipped","Skipped","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Still support","Less than high school (Grades 1-8 or no formal schooling)","45-54","Indep lean Dem","Less than $20,000","Liberal","Separated"
"701","No, law does not do this","Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","25-34","Democrat","Less than $20,000","Moderate","Living with a partner"
"702",NA,"Not at all important","Very important","Support","The woman herself (or)","Not too important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Less than high school (Grades 1-8 or no formal schooling)","55-64","Indep/Don't lean","Less than $20,000","Liberal","Living with a partner"
"703","(DO NOT READ) Don't know","Very important","Very important","Support","The woman herself (or)","Very important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Less than high school (Grades 1-8 or no formal schooling)","55-64","Indep/Don't lean","Less than $20,000","Moderate","Divorced"
"704",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","25-34","Indep lean Dem","Less than $20,000","Liberal","Never been married"
"705","Yes, the law does this","Very important","Somewhat important","Support","The insurance company (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","55-64","Indep/Don't lean","$40,000 to less than $50,000","Conservative","Never been married"
"706",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","25-34","Indep lean Dem","Less than $20,000","Moderate","Married"
"707",NA,"Very important","Very important","Support","The government (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Democrat","$40,000 to less than $50,000","Liberal","Never been married"
"708","No, law does not do this","Very important","Very important","(DO NOT READ) Refused","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Indep lean Rep","$100,000 or more","Conservative","Married"
"709",NA,"Very important","Very important","Support","The insurance company (or)","Very important","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Indep/Don't lean","Less than $20,000","Moderate","Married"
"710","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Democrat","Less than $20,000","Moderate","Divorced"
"711","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Democrat","$50,000 to less than $75,000","Liberal","Never been married"
"712",NA,"Not at all important","Not too important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"Some college, no degree (includes some community college)","65+","Indep lean Rep","$100,000 or more","Conservative","Married"
"713","Yes, the law does this","Very important","Very important","Support","The woman herself (or)","Should not be done","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Less than high school (Grades 1-8 or no formal schooling)","55-64","Democrat","Less than $20,000","(DO NOT READ) Don't know/Refused","Married"
"714",NA,"Somewhat important","Very important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep lean Dem","$20,000 to less than $30,000","Conservative","Married"
"715","No, law does not do this","Somewhat important","Very important","Oppose","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Indep/Don't lean","Less than $20,000","Moderate","Never been married"
"716",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep lean Dem","$100,000 or more","Moderate","Married"
"717","No, law does not do this","Very important","Very important","Support","The woman herself (or)","Very important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Indep lean Rep","$50,000 to less than $75,000","Moderate","Married"
"718","No, law does not do this","Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Don't know","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Indep/Don't lean","$100,000 or more","Moderate","Married"
"719","Yes, the law does this","Somewhat important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Democrat","$100,000 or more","Liberal","Married"
"720",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Democrat","$30,000 to less than $40,000","Moderate","Never been married"
"721","Yes, the law does this","Somewhat important","Very important","Oppose","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Democrat","Less than $20,000","Liberal","Widowed"
"722","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Democrat","Less than $20,000","Moderate","Married"
"723",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","(DO NOT READ) Don't know",NA,"Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","DK/Ref","Republican","(DO NOT READ) Don't know/Refused","Conservative","(DO NOT READ) Don't know/Refused"
"724",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Democrat","$100,000 or more","Moderate","Never been married"
"725",NA,"Not at all important","Somewhat important","Oppose","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know",NA,NA,"Support","Now oppose","Two year associate degree from a college or university","45-54","Indep lean Rep","$100,000 or more","Conservative","Divorced"
"726",NA,"Somewhat important","Very important","Oppose","The insurance company (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","(DO NOT READ) Refused","Two year associate degree from a college or university","55-64","Republican","$50,000 to less than $75,000","Conservative","Married"
"727",NA,"Somewhat important","Very important","Support","The insurance company (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","35-44","Democrat","$30,000 to less than $40,000","Liberal","Living with a partner"
"728",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","65+","Democrat","$90,000 to less than $100,000","Liberal","Married"
"729","No, law does not do this","Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep lean Rep","$40,000 to less than $50,000","Conservative","Married"
"730","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Oppose",NA,"High school graduate (Grade 12 with diploma or GED certificate)","25-34","Republican","Less than $20,000","Conservative","Separated"
"731",NA,"Not at all important","Somewhat important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep lean Rep","$50,000 to less than $75,000","Conservative","Married"
"732",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Democrat","$100,000 or more","Liberal","Married"
"733","No, law does not do this","Very important","Very important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","45-54","Indep/Don't lean","$100,000 or more","Liberal","Married"
"734",NA,"Very important","Very important","Oppose","The government (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","45-54","Democrat","$20,000 to less than $30,000","Moderate","Married"
"735","Yes, the law does this","Not at all important","Very important","Support","The government (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","18-24","Indep lean Rep","$30,000 to less than $40,000","Liberal","Never been married"
"736",NA,"Very important","Very important","Support","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","25-34","Republican","Less than $20,000","Moderate","Never been married"
